Title,female,male,authors_nr,female_nr,male_nr,participation_f,participation_m,Title,Year,auhtors_nr_cat,authors_nr_cat
Gender inequality and FDI: empirical evidence from developing Asia–Pacific countries,1.0,0.0,3,3,0,1,0,Gender inequality and FDI: empirical evidence from developing Asia–Pacific countries,2018,3,3
Gender inequality and HIV transmission: a global analysis,0.4,0.6,5,2,3,1,1,Gender inequality and HIV transmission: a global analysis,2014,5-10,5-10
"Gender inequality and adolescent suicide ideation across Africa, Asia, the South Pacific and Latin America – a cross-sectional study based on the Global School Health Survey (GSHS)",0.6,0.4,5,3,2,1,1,"Gender inequality and adolescent suicide ideation across Africa, Asia, the South Pacific and Latin America – a cross-sectional study based on the Global School Health Survey (GSHS)",2018,5-10,5-10
"Gender inequality and bio-social factors in nutritional status among under five children attending anganwadis in an urban slum of a town in Western Maharashtra, India",0.75,0.25,4,3,1,1,1,"Gender inequality and bio-social factors in nutritional status among under five children attending anganwadis in an urban slum of a town in Western Maharashtra, India",2013,4,4
Gender inequality and development,0.0,1.0,1,0,1,0,1,Gender inequality and development,2019,1,1
Gender inequality and domestic violence perpetrated by women against men in the garb of gender biased domestic violence laws in India,1.0,0.0,2,2,0,1,0,Gender inequality and domestic violence perpetrated by women against men in the garb of gender biased domestic violence laws in India,2021,2,2
Gender inequality and family formation in Japan,0.0,1.0,1,0,1,0,1,Gender inequality and family formation in Japan,2017,1,1
Gender inequality and food security: lessons from the gender-responsive work of the International Food Policy Research Institute and the Bill and Melinda Gates Foundation,0.5,0.5,2,1,1,1,1,Gender inequality and food security: lessons from the gender-responsive work of the International Food Policy Research Institute and the Bill and Melinda Gates Foundation,2017,2,2
Gender inequality and homicide: a cross-national examination,0.0,1.0,2,0,2,0,1,Gender inequality and homicide: a cross-national examination,2018,2,2
Gender inequality and inter-household economic inequality in emerging economies: exploring the relationship,1.0,0.0,1,1,0,1,0,Gender inequality and inter-household economic inequality in emerging economies: exploring the relationship,2015,1,1
Gender inequality and national gender gaps in overconfidence,0.0,1.0,3,0,3,0,1,Gender inequality and national gender gaps in overconfidence,2021,3,3
Gender inequality and not female mentors hinder female scientists career outcomes,1.0,0.0,14,14,0,1,0,Gender inequality and not female mentors hinder female scientists career outcomes,2020,11-20,11-20
"Gender inequality and nutritional status in patriarchal societies: the case of primary school students in riyadh city, Saudi Arabia",0.5,0.5,2,1,1,1,1,"Gender inequality and nutritional status in patriarchal societies: the case of primary school students in riyadh city, Saudi Arabia",2017,2,2
Gender inequality and research performance: moving beyond individual-meritocratic explanations of academic advancement,0.0,1.0,1,0,1,0,1,Gender inequality and research performance: moving beyond individual-meritocratic explanations of academic advancement,2016,1,1
Gender inequality and restrictive gender norms: framing the challenges to health,0.89,0.11,9,8,1,1,1,Gender inequality and restrictive gender norms: framing the challenges to health,2019,5-10,5-10
Gender inequality and structural violence among depressed women in South India,0.5,0.5,2,1,1,1,1,Gender inequality and structural violence among depressed women in South India,2012,2,2
Gender inequality and the digital arts: How do sexism and gender biases influence female digital artists,1.0,0.0,1,1,0,1,0,Gender inequality and the digital arts: How do sexism and gender biases influence female digital artists,2018,1,1
Gender inequality and the double burden of disease in low-income and middle-income countries: an ecological study,1.0,0.0,5,5,0,1,0,Gender inequality and the double burden of disease in low-income and middle-income countries: an ecological study,2021,5-10,5-10
Gender inequality and the empowerment of women in rural Viet Nam,1.0,0.0,1,1,0,1,0,Gender inequality and the empowerment of women in rural Viet Nam,2015,1,1
Gender inequality and the entrepreneurial gender gap: Evidence from 97 countries (2006–2017),0.0,1.0,2,0,2,0,1,Gender inequality and the entrepreneurial gender gap: Evidence from 97 countries (2006–2017),2022,2,2
Gender inequality and the risk of HIV among married couples in North India,0.5,0.5,4,2,2,1,1,Gender inequality and the risk of HIV among married couples in North India,2015,4,4
Gender inequality and the sex ratio in three emerging economies,0.0,1.0,1,0,1,0,1,Gender inequality and the sex ratio in three emerging economies,2013,1,1
Gender inequality and women participation in agricultural development in Nigeria,1.0,0.0,1,1,0,1,0,Gender inequality and women participation in agricultural development in Nigeria,2014,1,1
Gender inequality as a barrier to economic growth: a review of the theoretical literature,0.0,1.0,2,0,2,0,1,Gender inequality as a barrier to economic growth: a review of the theoretical literature,2021,2,2
Gender inequality at home is associated with poorer health for women,1.0,0.0,2,2,0,1,0,Gender inequality at home is associated with poorer health for women,2015,2,2
Gender inequality at home when mothers work. The case of Italy,1.0,0.0,1,1,0,1,0,Gender inequality at home when mothers work. The case of Italy,2014,1,1
Gender inequality by design: does successful implementation of childcare policy deliver gender-just outcomes?,1.0,0.0,1,1,0,1,0,Gender inequality by design: does successful implementation of childcare policy deliver gender-just outcomes?,2019,1,1
Gender inequality dynamics in the prevention of a heterosexual HIV epidemic in sub-Saharan Africa,1.0,0.0,1,1,0,1,0,Gender inequality dynamics in the prevention of a heterosexual HIV epidemic in sub-Saharan Africa,2016,1,1
Gender inequality from beyond the grave: intra-household distribution and wellbeing after spousal loss,0.0,1.0,1,0,1,0,1,Gender inequality from beyond the grave: intra-household distribution and wellbeing after spousal loss,2012,1,1
Gender inequality in Australia’s tax-transfer system,1.0,0.0,1,1,0,1,0,Gender inequality in Australia’s tax-transfer system,2017,1,1
Gender inequality in Russia's rural formal economy,0.6,0.4,5,3,2,1,1,Gender inequality in Russia's rural formal economy,2015,5-10,5-10
Gender inequality in academia: Problems and solutions for women faculty in STEM,0.86,0.14,7,6,1,1,1,Gender inequality in academia: Problems and solutions for women faculty in STEM,2020,5-10,5-10
Gender inequality in academic medicine in Japan,0.0,1.0,1,0,1,0,1,Gender inequality in academic medicine in Japan,2013,1,1
"Gender inequality in acute coronary syndrome patients at Omdurman Teaching Hospital, Sudan",0.25,0.75,4,1,3,1,1,"Gender inequality in acute coronary syndrome patients at Omdurman Teaching Hospital, Sudan",2016,4,4
Gender inequality in an “Equal” environment,1.0,0.0,3,3,0,1,0,Gender inequality in an “Equal” environment,2021,3,3
Gender inequality in applying research project and funding,0.0,1.0,2,0,2,0,1,Gender inequality in applying research project and funding,2022,2,2
Gender inequality in human capital accumulation and economic growth: a comparative analysis of Pakistan and Sri Lanka,1.0,0.0,1,1,0,1,0,Gender inequality in human capital accumulation and economic growth: a comparative analysis of Pakistan and Sri Lanka,2013,1,1
Gender inequality in mobile technology access: the role of economic and social development*,1.0,0.0,1,1,0,1,0,Gender inequality in mobile technology access: the role of economic and social development*,2019,1,1
Gender inequality in mobility and mode choice in Pakistan,0.0,1.0,3,0,3,0,1,Gender inequality in mobility and mode choice in Pakistan,2017,3,3
Gender inequality in predispersal seed predation contributes to female seed set advantage in a gynodioecious species,1.0,0.0,2,2,0,1,0,Gender inequality in predispersal seed predation contributes to female seed set advantage in a gynodioecious species,2015,2,2
Gender inequality in public university : the practice of professors of agricultural scienceI,1.0,0.0,3,3,0,1,0,Gender inequality in public university : the practice of professors of agricultural scienceI,2016,3,3
Gender inequality in reproductive health services and sustainable development in Nigeria: A theoretical analysis,0.5,0.5,2,1,1,1,1,Gender inequality in reproductive health services and sustainable development in Nigeria: A theoretical analysis,2015,2,2
Gender inequality in science,0.0,1.0,1,0,1,0,1,Gender inequality in science,2015,1,1
"Gender inequality in self-reported health among the elderly in contemporary welfare countries: A cross-country analysis of time use activities, socioeconomic positions and family characteristics",0.0,1.0,3,0,3,0,1,"Gender inequality in self-reported health among the elderly in contemporary welfare countries: A cross-country analysis of time use activities, socioeconomic positions and family characteristics",2017,3,3
Gender inequality in sport: perceptions and experiences of generation Z,0.67,0.33,6,4,2,1,1,Gender inequality in sport: perceptions and experiences of generation Z,2021,5-10,5-10
Gender inequality in the Eastern European labour market: twenty-five years since the fall of communism,0.0,1.0,1,0,1,0,1,Gender inequality in the Eastern European labour market: twenty-five years since the fall of communism,2016,1,1
Gender inequality in the Serbian labour market,0.5,0.5,2,1,1,1,1,Gender inequality in the Serbian labour market,2012,2,2
Gender inequality in the South African labour market: Insights from the Employment Equity Act data,0.0,1.0,2,0,2,0,1,Gender inequality in the South African labour market: Insights from the Employment Equity Act data,2019,2,2
"Gender inequality in the academy: microaggressions, work-life conflict, and academic rank",1.0,0.0,1,1,0,1,0,"Gender inequality in the academy: microaggressions, work-life conflict, and academic rank",2020,1,1
Gender inequality in the clinical outcomes of equally treated acute coronary syndrome patients in Saudi Arabia,0.0,1.0,6,0,6,0,1,Gender inequality in the clinical outcomes of equally treated acute coronary syndrome patients in Saudi Arabia,2013,5-10,5-10
Gender inequality in the division of housework over the life course : a European comparative perspective,0.5,0.5,2,1,1,1,1,Gender inequality in the division of housework over the life course : a European comparative perspective,2016,2,2
Gender inequality in the family setting,0.33,0.67,3,1,2,1,1,Gender inequality in the family setting,2017,3,3
Gender inequality in the labour market of Ukraine,1.0,0.0,2,2,0,1,0,Gender inequality in the labour market of Ukraine,2022,2,2
Gender inequality in the music industry,1.0,0.0,1,1,0,1,0,Gender inequality in the music industry,2018,1,1
Gender inequality in the use of time in Argentina. An introductory note,0.5,0.5,2,1,1,1,1,Gender inequality in the use of time in Argentina. An introductory note,2014,2,2
Gender inequality in the work environment: a study of private research organizations in India,1.0,0.0,1,1,0,1,0,Gender inequality in the work environment: a study of private research organizations in India,2017,1,1
Gender inequality in work-family balance,0.0,1.0,1,0,1,0,1,Gender inequality in work-family balance,2019,1,1
Gender inequality is associated with gender differences and women participation in physical activity,0.0,1.0,3,0,3,0,1,Gender inequality is associated with gender differences and women participation in physical activity,2021,3,3
"Gender inequality, corruption, and economic development",0.0,1.0,2,0,2,0,1,"Gender inequality, corruption, and economic development",2021,2,2
"Gender inequality, gender pay gap, and pay inequity: Perceptions and reactions in Finnish society and workplaces",1.0,0.0,1,1,0,1,0,"Gender inequality, gender pay gap, and pay inequity: Perceptions and reactions in Finnish society and workplaces",2012,1,1
"Gender inequality, health expenditure and maternal mortality in sub-Saharan Africa: A secondary data analysis",0.0,1.0,3,0,3,0,1,"Gender inequality, health expenditure and maternal mortality in sub-Saharan Africa: A secondary data analysis",2013,3,3
"Gender inequality, the welfare state, disability, and distorted commodification of care in Turkey",0.0,1.0,1,0,1,0,1,"Gender inequality, the welfare state, disability, and distorted commodification of care in Turkey",2021,1,1
Gender inequality: Bad for men's health,1.0,0.0,1,1,0,1,0,Gender inequality: Bad for men's health,2013,1,1
Gender inequality: Nonbinary transgender people in the workplace,1.0,0.0,1,1,0,1,0,Gender inequality: Nonbinary transgender people in the workplace,2016,1,1
Gender inequality: The economic dimension,0.5,0.5,2,1,1,1,1,Gender inequality: The economic dimension,2022,2,2
"Gender inequality: The problem of harmful, patriarchal, traditional and cultural gender practices in the church",1.0,0.0,1,1,0,1,0,"Gender inequality: The problem of harmful, patriarchal, traditional and cultural gender practices in the church",2019,1,1
Gender inequality: determinants and outcomes in Nigeria,0.5,0.5,2,1,1,1,1,Gender inequality: determinants and outcomes in Nigeria,2021,2,2
Gender inferences based on stereotypes and a generic masculine pronoun: Does Dutch zijn 'his' induce a male bias?,1.0,0.0,1,1,0,1,0,Gender inferences based on stereotypes and a generic masculine pronoun: Does Dutch zijn 'his' induce a male bias?,2017,1,1
Gender longevity gap and socioeconomic indicators in developed countries,0.0,1.0,2,0,2,0,1,Gender longevity gap and socioeconomic indicators in developed countries,2019,2,2
Gender mainstreaming in the DGR as a knowledge process: epistemic barriers to eradicating gender bias,1.0,0.0,1,1,0,1,0,Gender mainstreaming in the DGR as a knowledge process: epistemic barriers to eradicating gender bias,2013,1,1
Gender makes the difference: The moderating role of leader gender on the relationship between leadership styles and subordinate performance,0.6,0.4,5,3,2,1,1,Gender makes the difference: The moderating role of leader gender on the relationship between leadership styles and subordinate performance,2013,5-10,5-10
Gender matters: Cures for bias,0.5,0.5,2,1,1,1,1,Gender matters: Cures for bias,2018,2,2
"Gender norms and social norms: differences, similarities and why they matter in prevention science",0.5,0.5,2,1,1,1,1,"Gender norms and social norms: differences, similarities and why they matter in prevention science",2019,2,2
Gender pay gap in England’s NHS: little progress since last year,0.0,1.0,1,0,1,0,1,Gender pay gap in England’s NHS: little progress since last year,2019,1,1
Gender pay gap in Vietnam: a propensity score matching analysis,1.0,0.0,2,2,0,1,0,Gender pay gap in Vietnam: a propensity score matching analysis,2020,2,2
Gender pay gap in medicine: not always an hours worked issue,0.0,1.0,2,0,2,0,1,Gender pay gap in medicine: not always an hours worked issue,2022,2,2
Gender pay gap in salary bands among employees in the formal sector of South Africa,0.0,1.0,2,0,2,0,1,Gender pay gap in salary bands among employees in the formal sector of South Africa,2018,2,2
Gender pay gap in the workplace: the case of public and private sectors in Nigeria,0.0,1.0,2,0,2,0,1,Gender pay gap in the workplace: the case of public and private sectors in Nigeria,2019,2,2
Gender pay gap report,0.0,1.0,1,0,1,0,1,Gender pay gap report,2018,1,1
Gender pay gap varies greatly by occupation,1.0,0.0,2,2,0,1,0,Gender pay gap varies greatly by occupation,2017,2,2
Gender pay gaps and the restructuring of graduate labour markets in Southern Europe,0.25,0.75,4,1,3,1,1,Gender pay gaps and the restructuring of graduate labour markets in Southern Europe,2015,4,4
Gender perception bias of operative autonomy evaluations among residents and faculty in general surgery training,0.33,0.67,6,2,4,1,1,Gender perception bias of operative autonomy evaluations among residents and faculty in general surgery training,2020,5-10,5-10
Gender perceptions predict sex differences in growth patterns of indigenous Guatemalan infants and young children,0.5,0.5,4,2,2,1,1,Gender perceptions predict sex differences in growth patterns of indigenous Guatemalan infants and young children,2015,4,4
"Gender positivity in sicilian preadolescents: gender differences in life skills, well-being, and coping strategies",1.0,0.0,2,2,0,1,0,"Gender positivity in sicilian preadolescents: gender differences in life skills, well-being, and coping strategies",2022,2,2
Gender preference gaps and voting for redistribution,0.5,0.5,2,1,1,1,1,Gender preference gaps and voting for redistribution,2022,2,2
"Gender regimes and inequalities in labour markets, pay and trade union leaderships - the case of South Africa",0.5,0.5,2,1,1,1,1,"Gender regimes and inequalities in labour markets, pay and trade union leaderships - the case of South Africa",2014,2,2
Gender related difference in the risk of bisphosphonate associated atypical femoral fracture and osteonecrosis of the jaw,0.0,1.0,3,0,3,0,1,Gender related difference in the risk of bisphosphonate associated atypical femoral fracture and osteonecrosis of the jaw,2014,3,3
Gender related differences in predictors of vascular complications: role of vessel size and BMI,0.6,0.4,5,3,2,1,1,Gender related differences in predictors of vascular complications: role of vessel size and BMI,2013,5-10,5-10
Gender relations in the Armed Forces: does the draft make a difference?,1.0,0.0,1,1,0,1,0,Gender relations in the Armed Forces: does the draft make a difference?,2012,1,1
Gender representations and stereotypes in Singaporean picture books: 1970 to 2008,0.33,0.67,3,1,2,1,1,Gender representations and stereotypes in Singaporean picture books: 1970 to 2008,2017,3,3
Gender role (in-)congruity and resource-provider gender biases: a conceptual model,0.5,0.5,2,1,1,1,1,Gender role (in-)congruity and resource-provider gender biases: a conceptual model,2021,2,2
Gender score gaps of Colombian students in the pisa test,1.0,0.0,1,1,0,1,0,Gender score gaps of Colombian students in the pisa test,2017,1,1
Gender segregation and earnings differences in the Spanish labour market,0.0,1.0,2,0,2,0,1,Gender segregation and earnings differences in the Spanish labour market,2016,2,2
Gender similarities and differences,1.0,0.0,1,1,0,1,0,Gender similarities and differences,2014,1,1
Gender similarities and differences in brain activation strategies: Voxel-based meta-analysis on fMRI studies,0.0,1.0,1,0,1,0,1,Gender similarities and differences in brain activation strategies: Voxel-based meta-analysis on fMRI studies,2017,1,1
"Gender similarity, coworker support, and job attitudes: An occupation’s creative requirement can make a difference",0.67,0.33,3,2,1,1,1,"Gender similarity, coworker support, and job attitudes: An occupation’s creative requirement can make a difference",2018,3,3
Gender specific differences in oxidative stress and inflammatory signaling in healthy term neonates and their mothers,0.6,0.4,5,3,2,1,1,Gender specific differences in oxidative stress and inflammatory signaling in healthy term neonates and their mothers,2016,5-10,5-10
Gender status bias and the marketplace,0.67,0.33,3,2,1,1,1,Gender status bias and the marketplace,2020,3,3
Gender stereotypes and biases in early childhood: A systematic review,1.0,0.0,5,5,0,1,0,Gender stereotypes and biases in early childhood: A systematic review,2021,5-10,5-10
Gender stereotypes and gender feature of job motivation: differences or similarity?,1.0,0.0,1,1,0,1,0,Gender stereotypes and gender feature of job motivation: differences or similarity?,2017,1,1
Gender stereotypes and in-group bias in early adolescence,1.0,0.0,3,3,0,1,0,Gender stereotypes and in-group bias in early adolescence,2013,3,3
Gender stereotypes and unconscious bias,1.0,0.0,1,1,0,1,0,Gender stereotypes and unconscious bias,2017,1,1
Gender stereotypes and workplace bias,1.0,0.0,1,1,0,1,0,Gender stereotypes and workplace bias,2012,1,1
Gender stereotypes in equity crowdfunding: the effect of gender bias on the interpretation of quality signals,0.0,1.0,2,0,2,0,1,Gender stereotypes in equity crowdfunding: the effect of gender bias on the interpretation of quality signals,2021,2,2
Gender stereotypes in job advertisements: What do they imply for the gender salary gap?,0.5,0.5,4,2,2,1,1,Gender stereotypes in job advertisements: What do they imply for the gender salary gap?,2022,4,4
Gender stereotypes: The effects of feminine versus masculine faces on biasing source monitoring,1.0,0.0,1,1,0,1,0,Gender stereotypes: The effects of feminine versus masculine faces on biasing source monitoring,2014,1,1
Gender studies et études de genre : le gap,1.0,0.0,3,3,0,1,0,Gender studies et études de genre : le gap,2012,3,3
Gender tokenism and bias prevail in biotech boardrooms,0.0,1.0,1,0,1,0,1,Gender tokenism and bias prevail in biotech boardrooms,2017,1,1
"Gender typicality and popularity: Relationships among felt pressure, intergroup biases, and contentment",1.0,0.0,1,1,0,1,0,"Gender typicality and popularity: Relationships among felt pressure, intergroup biases, and contentment",2015,1,1
"Gender violence, social bias and drugs",1.0,0.0,2,2,0,1,0,"Gender violence, social bias and drugs",2020,2,2
Gender wage differences in Nigerian self and paid employment: Do marriage and children matter?,0.67,0.33,3,2,1,1,1,Gender wage differences in Nigerian self and paid employment: Do marriage and children matter?,2016,3,3
"Gender wage gap across the wage distribution in different segments of the Indian labour market, 1983–2012: exploring the glass ceiling or sticky floor phenomenon",1.0,0.0,2,2,0,1,0,"Gender wage gap across the wage distribution in different segments of the Indian labour market, 1983–2012: exploring the glass ceiling or sticky floor phenomenon",2016,2,2
Gender wage gap and education: a stochastic frontier approach,1.0,0.0,2,2,0,1,0,Gender wage gap and education: a stochastic frontier approach,2017,2,2
Gender wage gap and the role of skills : evidence from PIAAC dataset Agenda,0.0,1.0,1,0,1,0,1,Gender wage gap and the role of skills : evidence from PIAAC dataset Agenda,2017,1,1
Gender wage gap and the role of skills: evidence from PIAAC dataset,0.5,0.5,2,1,1,1,1,Gender wage gap and the role of skills: evidence from PIAAC dataset,2017,2,2
Gender wage gap by occupational groups in Poland,1.0,0.0,3,3,0,1,0,Gender wage gap by occupational groups in Poland,2015,3,3
Gender wage gap in Estonia: a non-parametric decomposition,0.0,1.0,1,0,1,0,1,Gender wage gap in Estonia: a non-parametric decomposition,2015,1,1
Gender wage gap in selected developing upper-middle income countries,1.0,0.0,1,1,0,1,0,Gender wage gap in selected developing upper-middle income countries,2018,1,1
"Gender wage gap, quality of earnings and gender digital divide in the European context",0.33,0.67,3,1,2,1,1,"Gender wage gap, quality of earnings and gender digital divide in the European context",2022,3,3
Gender wage gaps in Australian workplaces: are policy responses working?,0.25,0.75,4,1,3,1,1,Gender wage gaps in Australian workplaces: are policy responses working?,2014,4,4
"Gender wage gaps in formal and informal jobs , evidence from Brazil",1.0,0.0,1,1,0,1,0,"Gender wage gaps in formal and informal jobs , evidence from Brazil",2013,1,1
"Gender wage gaps, ‘sticky floors’ and ‘glass ceilings’ in Europe ☆",0.0,1.0,2,0,2,0,1,"Gender wage gaps, ‘sticky floors’ and ‘glass ceilings’ in Europe ☆",2013,2,2
Gender wage inequalities in Switzerland: the public versus the private sector,0.5,0.5,2,1,1,1,1,Gender wage inequalities in Switzerland: the public versus the private sector,2017,2,2
Gender wage inequality in inclusive and exclusive industrial relations systems: a comparison of Argentina and Chile,0.33,0.67,3,1,2,1,1,Gender wage inequality in inclusive and exclusive industrial relations systems: a comparison of Argentina and Chile,2015,3,3
"Gender, Age and Body Mass Differences Influencing the Motivation for Physical Activity among Polish Youths",1.0,0.0,3,3,0,1,0,"Gender, Age and Body Mass Differences Influencing the Motivation for Physical Activity among Polish Youths",2014,3,3
"Gender, Age and Class in School Differences in Internet Addiction and Psychological Distress among Adolescents in a Nigerian Urban City",0.33,0.67,3,1,2,1,1,"Gender, Age and Class in School Differences in Internet Addiction and Psychological Distress among Adolescents in a Nigerian Urban City",2015,3,3
"Gender, Age and Cross-Cultural Differences in Life Satisfaction: a Comparison Between Spain and Mexico",0.5,0.5,4,2,2,1,1,"Gender, Age and Cross-Cultural Differences in Life Satisfaction: a Comparison Between Spain and Mexico",2019,4,4
"Gender, Age and Inequality in the Professions",1.0,0.0,2,2,0,1,0,"Gender, Age and Inequality in the Professions",2019,2,2
"Gender, Age, and Racial Differences in Self-Reported Fears Among School-Aged Youth",0.67,0.33,3,2,1,1,1,"Gender, Age, and Racial Differences in Self-Reported Fears Among School-Aged Youth",2013,3,3
"Gender, Bias, and Academia",1.0,0.0,1,1,0,1,0,"Gender, Bias, and Academia",2019,1,1
"Gender, Biasness and Indian Cinemas",1.0,0.0,1,1,0,1,0,"Gender, Biasness and Indian Cinemas",2020,1,1
"Gender, Career and Technical Education (CTE) Nontraditional Coursetaking, and Wage Gap",0.8,0.2,5,4,1,1,1,"Gender, Career and Technical Education (CTE) Nontraditional Coursetaking, and Wage Gap",2017,5-10,5-10
"Gender, Citizenship, and Women's 'Unskilled' Labour: The Experience of Filipino Migrant Nurses in Singapore",0.5,0.5,2,1,1,1,1,"Gender, Citizenship, and Women's 'Unskilled' Labour: The Experience of Filipino Migrant Nurses in Singapore",2012,2,2
"Gender, Culture and Intervention: Exploring Differences between Aboriginal and Non-Aboriginal Children’s Responses to an Early Intervention Programme",0.0,1.0,4,0,4,0,1,"Gender, Culture and Intervention: Exploring Differences between Aboriginal and Non-Aboriginal Children’s Responses to an Early Intervention Programme",2012,4,4
"Gender, Culture, and Inequality in Ghana: An Examination of Sociocultural Determinants of Gender Disparity",0.5,0.5,2,1,1,1,1,"Gender, Culture, and Inequality in Ghana: An Examination of Sociocultural Determinants of Gender Disparity",2015,2,2
"Gender, Diversity, and Methods in Political Science: A Theory of Selection and Survival Biases",1.0,0.0,2,2,0,1,0,"Gender, Diversity, and Methods in Political Science: A Theory of Selection and Survival Biases",2017,2,2
"Gender, Energy, and Inequalities: A Capabilities Approach Analysis of Renewable Electrification Projects in Peru",0.5,0.5,2,1,1,1,1,"Gender, Energy, and Inequalities: A Capabilities Approach Analysis of Renewable Electrification Projects in Peru",2015,2,2
"Gender, Ethnic, Age, and Relationship Differences in Non-Traditional College Student Alcohol Consumption: A Tri-Ethnic Study",1.0,0.0,3,3,0,1,0,"Gender, Ethnic, Age, and Relationship Differences in Non-Traditional College Student Alcohol Consumption: A Tri-Ethnic Study",2012,3,3
"Gender, Gaming Motives, and Genre: Comparing Singaporean, German, and American Players",0.17,0.83,6,1,5,1,1,"Gender, Gaming Motives, and Genre: Comparing Singaporean, German, and American Players",2022,5-10,5-10
"Gender, Gender Bias, and Gun Policy Preferences: A Quantitative Analysis",0.5,0.5,2,1,1,1,1,"Gender, Gender Bias, and Gun Policy Preferences: A Quantitative Analysis",2016,2,2
"Gender, ICTs, and Indicators: Measuring Inequality and Change",0.0,1.0,2,0,2,0,1,"Gender, ICTs, and Indicators: Measuring Inequality and Change",2013,2,2
"Gender, Inequality, and Wages",1.0,0.0,1,1,0,1,0,"Gender, Inequality, and Wages",2012,1,1
"Gender, Künstliche Intelligenz und Robotik: Wie Künstliche Intelligenz und Roboter Gender Stereotype und Gender Biases weiterführen",1.0,0.0,1,1,0,1,0,"Gender, Künstliche Intelligenz und Robotik: Wie Künstliche Intelligenz und Roboter Gender Stereotype und Gender Biases weiterführen",2021,1,1
"Gender, Language and Society - Word Embeddings as a Reflection of Social Inequalities in Linguistic Corpora",0.0,1.0,2,0,2,0,1,"Gender, Language and Society - Word Embeddings as a Reflection of Social Inequalities in Linguistic Corpora",2019,2,2
"Gender, Markets, and Inequality: A Framework",0.67,0.33,3,2,1,1,1,"Gender, Markets, and Inequality: A Framework",2018,3,3
"Gender, Migration and Place of Qualification of Doctors in the UK: Perceptions of Inequality, Morale and Career Aspiration",0.5,0.5,2,1,1,1,1,"Gender, Migration and Place of Qualification of Doctors in the UK: Perceptions of Inequality, Morale and Career Aspiration",2013,2,2
"Gender, Parenthood and Wage Differences: The Importance of Time-Consuming Job Characteristics",0.5,0.5,2,1,1,1,1,"Gender, Parenthood and Wage Differences: The Importance of Time-Consuming Job Characteristics",2016,2,2
"Gender, Parenting, and The Rise of Remote Work During the Pandemic: Implications for Domestic Inequality in the United States",0.8,0.2,5,4,1,1,1,"Gender, Parenting, and The Rise of Remote Work During the Pandemic: Implications for Domestic Inequality in the United States",2021,5-10,5-10
"Gender, Partisanship, and Issue Gaps",1.0,0.0,1,1,0,1,0,"Gender, Partisanship, and Issue Gaps",2017,1,1
"Gender, Poverty and Inequality in the Aftermath of Zimbabwe’s Land Reform: A Transformative Social Policy Perspective",0.0,1.0,2,0,2,0,1,"Gender, Poverty and Inequality in the Aftermath of Zimbabwe’s Land Reform: A Transformative Social Policy Perspective",2018,2,2
"Gender, Race, and the News: Enduring Bias",1.0,0.0,2,2,0,1,0,"Gender, Race, and the News: Enduring Bias",2020,2,2
"Gender, Racial, and Ethnic Differences in the Utilization of Cervical Disk Replacement for Cervical Radiculopathy",0.12,0.88,8,1,7,1,1,"Gender, Racial, and Ethnic Differences in the Utilization of Cervical Disk Replacement for Cervical Radiculopathy",2022,5-10,5-10
"Gender, Racial, and Health Insurance Differences in the Trend of Implantable Cardioverter‐Defibrillator (ICD) Utilization: A United States Experience Over the Last Decade",0.09,0.91,11,1,10,1,1,"Gender, Racial, and Health Insurance Differences in the Trend of Implantable Cardioverter‐Defibrillator (ICD) Utilization: A United States Experience Over the Last Decade",2016,11-20,11-20
"Gender, Rural-Urban Inequality, and Intermarriage in China",0.0,1.0,1,0,1,0,1,"Gender, Rural-Urban Inequality, and Intermarriage in China",2016,1,1
"Gender, Self-Assessment, and Persistence in Computing: How gender differences in self-assessed ability reduce women’s persistence in computer science",0.71,0.29,7,5,2,1,1,"Gender, Self-Assessment, and Persistence in Computing: How gender differences in self-assessed ability reduce women’s persistence in computer science",2022,5-10,5-10
"Gender, Sexism and the Social Representation of Stalking: What Makes the Difference?",1.0,0.0,2,2,0,1,0,"Gender, Sexism and the Social Representation of Stalking: What Makes the Difference?",2017,2,2
"Gender, Socioeconomic Status, Cultural Differences, Education, Family Size and Procrastination: A Sociodemographic Meta-Analysis",0.33,0.67,3,1,2,1,1,"Gender, Socioeconomic Status, Cultural Differences, Education, Family Size and Procrastination: A Sociodemographic Meta-Analysis",2022,3,3
"Gender, Top Management Compensation Gap, and Company Performance: Tournament Versus Behavioral Theory",0.0,1.0,1,0,1,0,1,"Gender, Top Management Compensation Gap, and Company Performance: Tournament Versus Behavioral Theory",2012,1,1
"Gender, age and migration: an intersectional approach to inequalities in the labour market",1.0,0.0,1,1,0,1,0,"Gender, age and migration: an intersectional approach to inequalities in the labour market",2017,1,1
"Gender, age and teaching experiences differences in decision-making behaviours of members of selected Kenyan secondary school disciplinary panels",0.0,1.0,2,0,2,0,1,"Gender, age and teaching experiences differences in decision-making behaviours of members of selected Kenyan secondary school disciplinary panels",2013,2,2
"Gender, age‐related, and regional differences of the magnetization transfer ratio of the cortical and subcortical brain gray matter",0.4,0.6,5,2,3,1,1,"Gender, age‐related, and regional differences of the magnetization transfer ratio of the cortical and subcortical brain gray matter",2014,5-10,5-10
"Gender, childhood and adult socioeconomic inequalities in functional disability among Chinese older adults",0.33,0.67,3,1,2,1,1,"Gender, childhood and adult socioeconomic inequalities in functional disability among Chinese older adults",2017,3,3
